text	label
thus , it is only natural that kyle begins a steady decline towards becoming one of the monsters he despises . 	0
anton jackson is an african-american man who seems harmless enough on the surface , but is a secret agent in the all-black brotherhood , an entity that levels the playing field against the all-white establishment . 	0
"first day on job publicist , a whisky drinking headbanger , a pimp from the ghetto , and a psychiatrist on crack end up in a barstow county desert with a corps and an "" a "" list celebrity who is hallucinating apes after drinking a soda contaminated with bug killer . "	0
the acting in pauline and paulette is good all round , but what really sets the film apart is debrauwer's refusal to push the easy emotional buttons . 	1
french director helene angel's dark but deftly handled fable about familial violence has a terrifying , fairy-tale atmosphere that's in perfect keeping with its unique point of view . 	1
like coming into a long-running , well-written television series where you've missed the first half-dozen episodes and probably won't see the next six . 	1
desperately unfunny when it tries to makes us laugh and desperately unsuspenseful when it tries to make us jump out of our seats . 	1
when her husband's younger brother turns twenty-one and is released from juvenile prison , where he served five years for murder , renee's cozy life begins to change . 	0
marisa ventura ( lopez ) is a single mother born and bred in the boroughs of new york city , who works as a maid in a first-class manhattan hotel . 	0
as they each play out their own con , the line between rescuer and executioner , betrayer and martyr become blurred and they must learn to trust each other in order to survive . 	0
friday after next is a lot more bluster than bite . 	1
"despite the long running time , the pace never feels slack -- there's no scene that screams "" bathroom break ! "" "	1
all in all , the count of monte cristo is okay , but it is surely no classic , like the novel upon which it is based . 	1
the faithful will enjoy this sometimes wry adaptation of v . s . naipaul's novel , but newcomers may find themselves stifling a yawn or two during the first hour . 	1
 . . . this isn't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels . 	1
in event of death of any of the inheritors' death , a death certificate has to be produced to the bank . 	0
the book records the entire history of the universe , revealing to its readers anything they wish to know . 	0
unlike most reunion stories that climax with a clich&#233 ; happy ending , daughter from danang is a real-life drama . 	0
"william hundert , a retired "" old-school "" classics teacher is passionate about his subject . "	0
at least it's a fairly impressive debut from the director , charles stone iii . 	1
she's eighteen , unemployed , broke and hopelessly in love with her wannabe rockstar boyfriend matt . 	0
watching e . t now , in an era dominated by cold , loud special-effects-laden extravaganzas , one is struck less by its lavish grandeur than by its intimacy and precision . 	1
the latest installment in the pokemon canon , pokemon 4ever is surprising less moldy and trite than the last two , likely because much of the japanese anime is set in a scenic forest where pokemon graze in peace . 	1
eventually moves and stirs you , even if it often resembles those steamy mexican tv dramas/soap operas called telenovelas . 	1
has all the right elements but completely fails to gel together . 	1
daily prison life is not drab but full of unexpected happenings like a story . 	0
this movie is about the worst thing chan has done in the united states . 	1
a haunted , bountiful film that demands patience -- and rewards it . 	1
dr . cleave , who long wanted to possess stella is left to tell her story : 'one of the saddest i know' . 	0
as the strange thefts escalate , detective phil barbara ( gale harold ) is assigned to the case and is soon on chep and fran's trail . 	0
this nickleby thing might have more homosexual undertones than an eddie murphy film . and just when you think it can't get any more gay , in pops nathan lane . 	1
buenos aires in the year 2002 ; the economical depression has caught the country . 	0
 . . . unspeakably , unbearably dull , featuring reams of flatly delivered dialogue and a heroine who comes across as both shallow and dim-witted . 	1
while the now 72-year-old robert evans been slowed down by a stroke , he has at least one more story to tell : his own . 	1
jimmy wayne garrick is bitten by a stray dog one night on his way home and becomes obsessed with the idea that he is becoming a werewolf . 	0
�the story is far-flung , illogical , and plain stupid . 	1
raimi crafted a complicated hero who is a welcome relief from the usual two-dimensional offerings . 	1
meanwhile the kids find a stray dog who needs a home . 	0
but roger's seemingly foolproof world of smooth talk and casual sex begins to unravel when he is paid a surprise visit by his teenager nephew , nick . 	0
this re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against . 	1
he must escape his way back to the safe confines of his truck and being lost without losing his life . 	0
one of the very best movies ever made about the life of moviemaking . 	1
now , years later matt goes away for weekend with his new girlfriend dawn . 	0
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis . 	1
director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama . 	1
director dan verete uses his camera as the metaphoric needle , and his cast in each segment as his thread , to form a sweeping tapestry of mis-explanation and contention . 	1
